s20, North Korea Sanctions Enforcement Act of 2016
s22,Trade Facilitation and Trade Enforcement Act of 2015
s26,A resolution relating to the death of Antonin Scalia
s34,Comprehensive Addiction and Recovery Act of 2016
s38,An original resolution directing the Senate Legal Counsel to bring a civil action to enforce a subpoena of ...
s39, Defend Trade Secrets Act of 2016
s47,America Small Business Tax Relief Act of 2015
s54,Energy Policy Modernization Act of 2015
s71, Energy and Water Development and Related Agencies Appropriations Act
s82,Transportation
s83,Adam Walsh Reauthorization Act of 2016
s84,Disapproving the rule submitted by the Department of Labor relating to the definition of the term Fiduciary
s86, A joint resolution providing for congressional disapproval under chapter 8 of title 5
s98,National Defense Authorization Act for Fiscal Year 2017
s116,National Sea Grant College Program Amendments Act of 2015
s123, Defund Planned Parenthood Act of 2015
s127,Federal Aviation Administration Reauthorization Act of 2016
s129,Comprehensive Addiction and Recovery Act of 2016
