"RowNumber","dayof-on","dayof-noton","daybef-on","daybef-noton","gender","HS","type-of-job","num-yrs-driving","cell-tel-exp","type-of-cell","Location"
"1","1","0","0","1","m","yes","prof","34","4-5","handheld","highspeed"
"2","1","0","0","1","m","yes","prof","29",">6","handsfree","highspeed"
"3","0","1","0","1","m","yes","prof","25",">6","handheld","highspeed"
"4","0","1","0","1","m","yes","prof","30","2-3","handsfree","highspeed"
"5","0","1","0","1","m","yes","nonprof","6","2-3","handsfree","highspeed"
"6","0","1","0","1","m","yes","nonprof","29","1","handsfree","highspeed"
"7","0","1","0","1","m","yes","nonprof","19","2-3","handsfree","highspeed"
"8","0","1","0","1","m","yes","nonprof","29",">6","handsfree","highspeed"
"9","0","1","0","1","m","yes","prof","15","1","handsfree","lowspeed"
"10","0","1","0","1","m","yes","nonprof","30","2-3","handheld","highspeed"
"11","0","1","0","1","m","yes","nonprof","22","4-5","handheld","highspeed"
"12","0","1","0","1","m","no","nonprof","14","1","handsfree","highspeed"
"13","0","1","0","1","m","no","nonprof","12","1","handsfree","highspeed"
"14","0","1","0","1","m","yes","nonprof","44","2-3","handsfree","highspeed"
"15","1","0","0","1","f","yes","nonprof","12","1","handsfree","highspeed"
"16","0","1","0","1","m","no","nonprof","30",">6","handsfree","highspeed"
"17","1","0","0","1","m","yes","nonprof","5","2-3","handsfree","highspeed"
"18","0","1","0","1","f","yes","nonprof","15","1","handsfree","highspeed"
"19","0","1","0","1","f","yes","prof","17","1","handsfree","lowspeed"
"20","0","1","0","1","f","yes","nonprof","20","1","handsfree","highspeed"
"21","0","1","0","1","m","yes","nonprof","3","2-3","handheld","lowspeed"
"22","0","1","0","1","m","no","nonprof","48","4-5","handsfree","lowspeed"
"23","0","1","0","1","f","yes","nonprof","22","1","handsfree","highspeed"
"24","0","1","0","1","m","no","nonprof","15","2-3","handsfree","highspeed"
"25","0","1","0","1","f","yes","prof","24","4-5","handheld","highspeed"
"26","0","1","0","1","m","no","nonprof","39",">6","handheld","highspeed"
"27","1","0","0","1","m","yes","prof","30",">6","handsfree","highspeed"
"28","0","1","0","1","f","yes","nonprof","14","2-3","handsfree","highspeed"
"29","0","1","0","1","f","yes","nonprof","21","4-5","handheld","lowspeed"
"30","1","0","0","1","f","yes","nonprof","17","2-3","handheld","lowspeed"
"31","1","0","0","1","f","yes","nonprof","12","2-3","handheld","highspeed"
"32","1","0","0","1","f","yes","nonprof","2","2-3","handheld","highspeed"
"33","0","1","0","1","m","yes","prof","44","2-3","handsfree","highspeed"
"34","0","1","0","1","m","yes","nonprof","8","1","handsfree","highspeed"
"35","0","1","0","1","f","yes","nonprof","3","2-3","handheld","lowspeed"
"36","0","1","0","1","m","yes","prof","19","2-3","handheld","highspeed"
"37","1","0","0","1","m","no","nonprof","23","1","handsfree","highspeed"
"38","0","1","0","1","m","no","nonprof","8",">6","handsfree","highspeed"
"39","0","1","0","1","m","yes","nonprof","32","2-3","handheld","highspeed"
"40","0","1","0","1","f","yes","nonprof","9","2-3","handsfree","highspeed"
"41","0","1","0","1","f","yes","nonprof","3","1","handsfree","highspeed"
"42","1","0","0","1","m","yes","nonprof","30","2","handsfree","lowspeed"
