userid,date,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q100,age,gender
8aaa9a0bd04b467e694fc54411264781,2010-01-14,3,4,4,2,4,4,1,2,3,4,4,2,4,5,4,4,1,1,1,3,2,21.15,0
afd0a6c07558ad5dcad37c9d9c8bb658,2012-06-27,4,3,4,2,4,4,1,3,1,4,3,2,3,3,4,5,4,2,2,1,3,24.88,1
89a6d512ed0ee140b52500f75bbf0673,2010-02-08,3,5,5,2,1,2,4,5,2,4,5,4,5,3,2,3,4,2,1,2,4,28.46,0
fc144ec312dd87b38386d8090ccef123,2010-11-30,5,2,3,2,4,4,2,1,2,3,4,2,4,4,2,5,2,2,4,3,1,23.57,1
588b265b617c16383d6eedc91c40659b,2009-09-04,5,4,1,1,4,4,2,1,1,4,1,1,4,4,5,5,5,1,4,1,1,33.87,1
7d87e064eefc01fe5b23f959f62dc127,2010-03-02,4,1,2,1,3,5,2,4,1,1,3,5,4,5,3,5,3,4,5,4,4,25.14,1
209739a3452596c02670b3cf9b17eb8c,2010-03-14,3,4,1,5,4,4,4,3,1,3,4,3,3,3,3,4,4,3,3,3,3,25.95,1
23ec8adc6bd8764f949c34ca119227cc,2009-09-14,5,4,3,4,2,2,1,3,3,5,5,3,5,4,1,2,3,2,2,3,1,23.76,0
51aae70e92f5da601597f1a300dc8a96,2010-02-27,4,2,5,2,4,4,1,4,2,4,5,2,4,1,4,4,3,2,3,4,1,41.22,1
80567e25b02a4442860048f29ef699e3,2010-07-10,1,2,3,3,3,4,1,3,1,3,4,2,4,4,3,2,5,4,4,3,3,21.93,1
c2467d7f5b13aee7e8e086025662e8e3,2010-10-08,4,3,4,1,4,3,4,3,3,4,5,5,3,3,4,4,5,4,3,1,3,25.67,0
681141a7463d8fe7a22d8fd976065dbb,2010-01-30,5,2,4,1,2,4,1,3,2,4,4,4,4,3,4,5,5,4,2,2,4,32.23,1
d207fc2c90109b5bc879b51ad72ea246,2009-08-06,5,2,5,4,5,4,1,5,2,4,4,3,4,4,1,5,1,1,4,4,1,27.84,1
3726a2094a7730ad183f7b3768c639ae,2009-03-13,5,2,1,1,3,5,1,4,1,3,1,5,4,5,3,5,5,5,3,3,3,20.67,1
23b1f254e9b22457b39150a288181a3e,2011-06-25,5,4,4,3,4,3,2,4,3,4,4,3,2,2,4,4,5,4,2,2,4,37.36,1
25c3839332a1433b7d70e6b819f7f1b0,2009-06-18,5,1,3,1,4,4,1,3,2,4,5,4,5,4,5,5,2,4,5,3,4,25.43,0
9cb747c3561b5f19c8149163886959fa,2009-07-23,1,2,3,4,2,1,5,4,5,1,2,4,1,3,2,2,4,5,1,3,3,21.1,1
455b987bf56cd314d03f19e879463155,2009-07-02,5,3,4,5,3,2,4,2,5,3,4,2,4,2,2,4,4,1,4,3,1,23.83,1
ccc7fe55aa21d1d086e82af6018c389b,2009-07-11,5,5,5,2,4,5,4,4,5,5,5,4,4,2,2,5,5,2,2,4,5,30.78,1
87cf9c501b1397be07cfcc9b56bd3e5d,2010-05-02,5,1,1,4,5,5,1,5,1,4,5,1,5,4,5,4,1,4,5,2,1,24.63,0
c53e05092e95df8297a90b85a45ea1f4,2009-08-23,3,2,1,3,5,4,2,2,1,4,4,2,4,3,5,4,2,1,4,2,1,30.01,1
7dfda928cd0126dad300e8a0654a8f8c,2009-10-02,2,1,4,2,4,4,2,5,2,5,5,3,2,2,4,4,4,2,4,5,2,22.89,0
58698dd3aa857b0de46305b85f41963d,2010-11-11,5,1,3,1,5,5,1,1,1,5,5,2,5,3,5,5,1,1,1,1,1,22.29,1
8c774b7c9b3ff734f5be56c6d66458f2,2009-10-06,5,4,3,1,4,2,1,3,2,3,4,4,2,2,2,4,3,3,3,4,3,27.12,0
1c728c9b3cb2569232d810996cf806ff,2009-04-08,3,3,1,2,3,2,1,4,3,3,3,4,5,5,3,1,4,4,3,3,2,41.44,0
38ec266e74e0c36842034578906b83a4,2010-04-16,1,1,3,3,4,5,5,2,1,3,4,1,2,4,3,2,1,1,3,4,3,24.69,0
137d4a454b7fb72b359ae40fff65ee99,2009-11-06,3,2,2,5,4,5,1,2,1,5,4,2,3,2,2,2,3,2,4,1,1,28.72,0
0a40fb19a30879dc33c9b6f138a930b3,2011-04-25,5,4,2,2,3,2,1,4,2,2,4,4,2,4,3,4,2,3,4,4,2,24.41,1
4173b1c221744ea584bc6ff69855e727,2009-03-18,5,5,4,4,4,2,1,1,2,4,4,2,2,4,2,5,3,4,1,2,4,34.69,0
7861401601357124d5fae5b39014bc0d,2009-11-07,5,3,4,5,4,5,3,5,1,4,5,1,5,3,1,5,4,1,3,5,1,22.51,0
